Unnamed: 0,College_Name,State,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,tier
43,Walchand College of Engineering ,Maharashtra,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4,T3
44,MIT World Peace University ,Maharashtra,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4,T3
45,Vishwakarma Institute of Information Technology ,Maharashtra,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1,T3
46,Ramrao Adik Institute of Technology ,Maharashtra,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3,T3
47,Sardar Patel College of Engineering ,Maharashtra,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2,T3
48,K. J. Somaiya College of Engineering ,Maharashtra,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5,T3
49,Pimpri Chinchwad College of Engineering ,Maharashtra,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5,T3
50,"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6,T3
51,Dwarkadas J Sanghvi College of Engineering ,Maharashtra,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2,T3
52,Thakur College of Engineering and Technology ,Maharashtra,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4,T3
53,SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7,T3
54,"Amity University, Mumbai ",Maharashtra,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6,T3
55,"Vishwakarma Institute of Technology, Pune ",Maharashtra,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4,T3
56,Indian Institute of Information Technology ,Maharashtra,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5,T2
57,Tata Institute of Social Sciences ,Maharashtra,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6,T3
58,Indian Institute of Technology ,Uttar pradesh,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1,T1
59,Indian Institute of Technology ,Uttar pradesh,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2,T1
60,"Amity University, Noida ",Uttar pradesh,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,T3
61,Aligarh Muslim University ,Uttar pradesh,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6,T3
62,MNNIT Allahabad ,Uttar pradesh,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2,T2
63,Jaypee Institute of Information Technology University ,Uttar pradesh,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,T3
64,Indian Institute of Information Technology ,Uttar pradesh,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1,T2
65,"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8,T3
66,Sharda University ,Uttar pradesh,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,T3
67,Galgotias University ,Uttar pradesh,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,T3
68,"Bennett University, Greater Noida ",Uttar pradesh,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6,T3
69,Shiv Nadar University ,Uttar pradesh,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,T3
70,"Integral University, Lucknow ",Uttar pradesh,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4,T3
71,J.S. University ,Uttar pradesh,"47,500","13,500",8.5,8.5,7.8,8.7,9,8.2,8.6,T3
72,"GLA University, Mathura ",Uttar pradesh,"1,78,000","75,000",8.2,8.2,7.9,8.3,8.3,8.2,8.1,T3
73,Institute of Engineering and Technology ,Uttar pradesh,"89,775","73,200",7.4,7.6,7.7,7,7.3,7,7.8,T3
74,Sanskriti University ,Uttar pradesh,"1,15,000","45,000",7,7.2,6.7,7,7.5,6.9,6.8,T3
75,"Monad University, Hapur ",Uttar pradesh,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,T3
76,Indian Institute of Information Technology ,Uttar pradesh,"2,18,700","2,18,700",7.8,7.6,7.2,7.4,6.8,9.4,8.1,T2
77,"IFTM University, Moradabad ",Uttar pradesh,"1,07,000","75,000",7.8,7.9,7.5,8.1,8,6.8,8.3,T3
78,"Shobhit University, Meerut ",Uttar pradesh,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,T3
79,"Glocal University, Saharanpur ",Uttar pradesh,"1,44,000","94,000",7.1,7.5,6.9,7,6.7,7.2,7.3,T3
80,"Rama University, Kanpur ",Uttar pradesh,"90,000","75,000",6.7,6.6,6.1,7.3,6.5,6.6,7.1,T3
81,Noida Institute of Engineering and Technology ,Uttar pradesh,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,T4
82,"ABES Engineering College, Ghaziabad ",Uttar pradesh,"1,43,700","1,30,000",7.9,8.1,7.2,8.1,8.2,7.8,8,T4
83,Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,"61,800","59,300",7.1,7.3,7,6.9,7.4,6.2,8,T4
84,Harcourt Butler Technological University ,Uttar pradesh,"1,35,000","83,300",7.3,7.5,6.9,7.4,6.5,7.8,7.8,T3
85,Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,"2,21,100","42,100",8.6,8.7,8.6,8.2,9.2,8.2,8.6,T2
86,Indian Institute of Technology ,Delhi ncr,"2,20,300","1,32,900",8.7,9,7.8,8.7,8.9,9,9,T1
87,"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,"16,150","8,970",8,8.4,7.6,8.3,8.4,7.2,8.2,T3
88,Delhi Technological University ,Delhi ncr,"1,90,000","1,66,000",8.2,7.9,7.6,7.5,8.6,8.6,8.8,T3
89,"Amity University, Noida ",Delhi ncr,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,T3
90,Indraprastha Institute of Information Technology ,Delhi ncr,"3,60,000","1,00,000",8.7,8.8,8.7,8.9,8.9,8.6,8.2,T2
91,Guru Gobind Singh Indraprastha University ,Delhi ncr,"1,17,200","23,000",7.8,8.1,7.5,8,8.1,6.9,8.1,T3
92,Jaypee Institute of Information Technology University ,Delhi ncr,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,T3
93,National Institute of Food Technology Entrepreneurship and ,Delhi ncr,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9,T2
94,"School of Engineering and Technology, NCU ",Delhi ncr,"2,60,000","82,000",9,9,--,--,9,--,--,T3
95,"J.C. Bose University Of Science And Technology, ",Delhi ncr,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6,T3
96,Indira Gandhi Delhi Technical University For Women ,Delhi ncr,"88,000","33,000",7.6,7.7,7,7.6,6.9,8.3,7.9,T3
97,Manav Rachna International Institute Of Research And ,Delhi ncr,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,T3
98,Sharda University ,Delhi ncr,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,T3
99,Galgotias University ,Delhi ncr,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,T3
100,Netaji Subhas University of Technology ,Delhi ncr,"1,90,000","1,20,000",7.8,7.9,7.1,7.6,7.6,8.9,7.9,T3
101,Shiv Nadar University ,Delhi ncr,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,T3
102,Manav Rachna International Institute of Research and ,Delhi ncr,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,T3
103,National Institute of Technology ,Delhi ncr,"96,866","1,98,500",6.8,7.3,6,7.1,6,7.6,6.8,T2
104,"Gurugram University, Gurgaon ",Delhi ncr,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,T3
105,Chhotu Ram Rural Institute Of Technology ,Delhi ncr,"33,450","33,450",8.4,8.7,8.1,8.4,8.7,8.1,8.2,T4
106,SunRise University ,Delhi ncr,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,T3
107,"Monad University, Hapur ",Delhi ncr,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,T3
108,"Amity University, Gurgaon ",Delhi ncr,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,T3
109,"Shobhit University, Meerut ",Delhi ncr,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,T3
110,Indraprastha Institute of Technology and Management ,Delhi ncr,"1,25,000",--,8.3,8.3,8,8.7,7.8,8.7,8.5,T4
111,Maharaja Agrasen Institute of Technology ,Delhi ncr,"1,43,200",--,7.5,7.8,7.2,7.7,7.5,7.5,7.4,T4
112,Maharaja Surajmal Institute of Technology ,Delhi ncr,"1,35,300",--,7.3,7.9,6.7,7.5,6.8,7.7,7.1,T3
113,Noida Institute of Engineering and Technology ,Delhi ncr,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,T3
114,K L University ,Andhra pradesh,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2,T3
115,"Andhra University, College of Engineering ",Andhra pradesh,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9,T3
116,"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1,T3
117,"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4,T3
118,"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3,T3
119,Sree Vidyanikethan Engineering College ,Andhra pradesh,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6,T3
120,G. Pulla Reddy Engineering College ,Andhra pradesh,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4,T3
121,Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5,T3
122,Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1,T3
123,Shri Vishnu Engineering College for Women ,Andhra pradesh,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9,T3
124,"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3,T3
125,Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3,T3
126,Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4,T3
127,Jawaharlal Nehru Technological University ,Andhra pradesh,"1,00,000",--,7.4,7.7,6.8,7.1,7.7,7.1,7.8,T3
128,Indian Institute of Technology ,Andhra pradesh,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9,T1
129,Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8,T3
130,Centurion University of Technology and Management ,Andhra pradesh,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3,T3
131,Aditya Engineering College ,Andhra pradesh,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9,T3
132,Bapatla Engineering College ,Andhra pradesh,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7,T3
133,Gudlavalleru Engineering College ,Andhra pradesh,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1,T3
134,Sri Venkateswara College of Engineering ,Andhra pradesh,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5,T3
135,Sri Vasavi Engineering College ,Andhra pradesh,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8,T3
136,Indian Institute of Information Technology Sri City ,Andhra pradesh,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4,T2
137,National Institute of Technology ,Andhra pradesh,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2,T2
138,"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5,T3
139,Raghu Engineering College ,Andhra pradesh,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8,T3
140,Indian Institute of Information Technology Design and ,Andhra pradesh,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2,T2
141,Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4,T4
142,VIT University ,Andhra pradesh,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1,T3
143,National Institute of Technology ,Karnataka,"1,52,730","1,00,355",8.4,8.7,7.2,8.2,8.4,8.9,8.9,T2
144,Manipal Institute of Technology ,Karnataka,"3,35,000","2,10,000",8.7,8.5,8.5,8.1,9.4,8.1,9.3,T3
145,R V College of Engineering ,Karnataka,"3,50,000","37,700",8.5,8.7,7.9,8.2,8.6,9,8.4,T3
146,Ramaiah Institute of Technology ,Karnataka,"86,226","96,570",8.4,8.5,7.8,8.3,8.7,8.3,8.6,T3
147,International Institute of Information Technology ,Karnataka,"1,64,000","3,24,000",8.7,9.2,8.5,9.1,8.8,8.9,7.6,T2
148,BMS College of Engineering ,Karnataka,"2,29,110","26,800",8.2,8.4,8,8,8,8.3,8.7,T3
149,Siddaganga Institute of Technology ,Karnataka,"79,475","92,975",7.8,8.1,7.2,7.7,8.1,8,7.6,T3
150,New Horizon College of Engineering ,Karnataka,"2,50,000","75,000",8,8,7.6,8.1,8.3,7.8,8.2,T3
151,"Faculty of Engineering and Technology, Jain University ",Karnataka,"1,97,500","85,000",8.1,8,7.9,8,8.3,7.7,8.5,T3
152,Sri Jayachamarajendra College of Engineering ,Karnataka,"4,75,000","1,40,000",8.3,8.4,7.6,7.8,8.5,8.7,8.6,T3
153,Dayananda Sagar College of Engineering ,Karnataka,"96,106","2,92,720",8,8,7.4,7.7,8.8,7.7,8.3,T3
154,NMAM Institute of Technology ,Karnataka,"1,63,000","83,220",7.9,8,7.5,8.2,8.1,7.5,7.9,T3
155,Nitte Meenakshi Institute of Technology ,Karnataka,"58,806","65,390",7.8,8.1,7.1,7.9,7.8,7.6,8.1,T3
156,PES University ,Karnataka,"3,40,000","2,00,000",8,8.5,7.7,8.1,8.1,8.1,7.6,T3
157,BMS Institute of Technology and Management ,Karnataka,"3,50,000",--,7.9,8.2,7.7,8,7.7,7.9,7.7,T3
158,"KLE Technological University, Hubli ",Karnataka,"15,000","40,000",8.4,8.5,7.6,8.2,9.1,8.4,8.4,T3
159,Dr. Ambedkar Institute of Technology ,Karnataka,"30,200","37,500",7.2,7.7,6.8,7.5,7.5,6.7,7.2,T4
160,PES College of Engineering ,Karnataka,"76,800","74,450",7.7,7.9,6.7,7.7,8.5,7.3,8,T3
161,CMR Institute of Technology ,Karnataka,"2,50,000","1,40,000",7.9,8.2,7.3,7.9,8.3,7.7,8,T3
162,The National Institute of Engineering ,Karnataka,"44,090","55,590",8.1,8.5,7.6,8.3,7.8,8.4,7.9,T3
163,"Alliance College of Engineering and Design, Bangalore ",Karnataka,"2,25,000","1,50,000",7.2,7.3,7.1,6.5,8.7,6.5,7.2,T4
164,Basaveshwar Engineering College ,Karnataka,"65,340","60,000",7.7,8.1,7.9,8.1,8.1,6.6,7.2,T3
165,"Christ University, Bangalore ",Karnataka,"1,70,000","35,000",8.3,8.5,7.4,8.2,8.9,8.1,8.8,T3
166,Manipal Academy of Higher Education ,Karnataka,"3,35,000","2,10,000",8.4,8.5,8.2,8.6,8.8,7.8,8.4,T3
167,Indian Institute of Science ,Karnataka,"29,200","35,200",9,9.6,8.5,9.4,9.5,8.4,8.4,T1
168,"REVA University, Bangalore ",Karnataka,"2,25,000","5,00,000",8.4,8.3,8.1,8.3,9.3,7.8,8.4,T3
169,"Alliance University, Bangalore ",Karnataka,"6,25,000","1,50,000",8,8.2,7.2,8.2,8.8,7.6,8,T3
170,"Presidency University, Bangalore ",Karnataka,"2,10,000","90,000",8.3,8.2,7.6,8.6,8.8,8.2,8.3,T3
171,Indian Institute of Technology ,Telangana,"2,22,995","5,00,895",8.5,8.7,8,8.7,8.5,8.3,8.6,T1
172,National Institute of Technology ,Telangana,"1,30,000","75,000",8.4,8.6,7.9,8.2,8.5,8.6,8.4,T2
173,International Institute of Information Technology ,Telangana,"3,00,000","1,50,000",8.3,9,8.2,8.5,7.8,9.2,6.9,T2
174,Jawaharlal Nehru Technological University ,Telangana,"12,500","18,000",8,8.3,7.7,7.8,8.3,7.6,8.3,T3
175,"University College of Engineering, Osmania University ",Telangana,"27,770","39,770",8.6,9,8.5,8.5,8.6,8.4,8.4,T3
176,Chaitanya Bharathi Institute of Technology ,Telangana,"1,34,000","1,51,600",8.2,8.5,7.1,8.4,8.3,8.6,8.5,T4
177,Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,"1,31,000","1,41,700",8.4,8.4,8.1,8.2,8.5,8.4,8.5,T4
178,"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,"1,21,650","72,500",8.3,8.6,8.1,8.5,8.2,8.6,7.7,T4
179,Institute of Aeronautical Engineering ,Telangana,"90,000","70,000",8.3,8.4,8.5,8.2,8.5,8,8.2,T4
180,BV Raju Institute of Technology ,Telangana,"1,20,000","70,000",8.5,8.6,8.2,8.3,8.9,8.4,8.7,T4
181,Vardhaman College of Engineering ,Telangana,"1,25,000","57,000",8.1,8.2,8.2,8.2,8.5,8.1,7.6,T4
182,"Anurag University, Hyderabad ",Telangana,"1,35,500","66,500",8.3,8.5,7.5,8.2,8.9,8,8.4,T3
183,Vasavi College of Engineering ,Telangana,"1,30,000","1,00,000",8,8.6,6.7,8.3,8,8.8,7.5,T4
184,Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,"1,22,000","75,000",8,8.3,7.3,7.9,8.5,8.1,7.6,T4
185,Kakatiya Institute of Technology & Science ,Telangana,"1,25,960","74,550",8.2,8.3,7.9,8.4,8.3,7.9,8.4,T4
186,K L University ,Telangana,"2,65,000","1,20,000",7.9,7.9,7.4,8.1,8.2,7.6,8.1,T3
187,Birla Institute of Technology and Science ,Telangana,"4,23,475","4,69,475",9,9,8.4,8.8,9.4,9.1,9.4,T2
188,Mahatma Gandhi Institute of Technology ,Telangana,"1,08,000",--,7.8,8.1,7.2,8.1,8.1,7.3,7.8,T4
189,Malla Reddy Engineering College ,Telangana,"1,03,000","57,000",7.4,7.7,7.1,7.4,7.8,7.1,7.5,T4
190,Malla Reddy College of Engineering ,Telangana,"72,000",--,7,7.5,7.2,7,6.8,6.5,7.2,T4
191,Indian Institute of Chemical Technology ,Telangana,--,--,7.7,7,7,8.3,8,7.7,7.9,T2
192,Sreenidhi Institute of Science and Technology ,Telangana,"5,20,000","2,10,000",7.6,7.8,6.9,7.5,7.8,7.7,7.6,T4
193,"Mahindra University, Hyderabad ",Telangana,"4,70,000","70,000",8.8,9.1,8.6,9,9.1,7.8,8.9,T3
194,"St Martin's Engineering College, Secunderabad ",Telangana,"80,000",--,7.7,7.9,6.8,7.8,7.9,7.7,8.2,T4
195,MLR Institute of Technology ,Telangana,"96,000","57,000",8.3,8.3,8.4,8.1,8.8,8,8.4,T4
196,Keshav Memorial Institute of Technology ,Telangana,"1,11,500",--,8.2,8.7,6.7,8.6,8.1,9,8.3,T3
197,Vaagdevi College of Engineering ,Telangana,"86,000",--,7.8,8,7.4,8,8,7.5,8,T3
198,CMR Engineering College ,Telangana,"75,000","57,000",8.8,8.9,8.4,8.7,9.2,9,8.4,T3
199,"Matrusri Engineering College, Hyderabad ",Telangana,"90,000",--,7,7.6,5.7,7.2,7.6,7,6.7,T4
200,Indian Institute of Technology ,Madhya pradesh,"2,28,700","50,800",8,8.4,7.6,8.1,7.7,7.8,8.4,T1
201,Maulana Azad National Institute of Technology ,Madhya pradesh,"64,939","1,04,275",7.8,7.8,7.5,7.5,7.6,8.1,8.5,T2
202,Indian Institute of Information Technology Design and ,Madhya pradesh,"1,37,580","71,000",7.9,8.2,7.5,8,8.1,7.5,8.3,T2
203,Atal Bihari Vajpayee Indian Institute of Information ,Madhya pradesh,"75,070","1,42,250",7.6,7.5,7,7.1,8.2,7.7,8,T2
204,"VIT Bhopal University, Bhopal ",Madhya pradesh,"1,98,000","1,93,000",7.9,8.6,7.7,8.4,7.1,8.1,7.4,T3
205,"RKDF University, Bhopal ",Madhya pradesh,"55,000","35,000",7.6,8,7,7.8,8,6.5,8.2,T3
206,Awadhesh Pratap Singh University ,Madhya pradesh,"40,000",--,7.1,7.9,6.5,8.1,7.2,5.3,7.3,T4
207,"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh,"23,920","62,735",6.9,7.2,6.5,6.6,7.6,6.3,6.9,T4
208,Institute of Information Technology & Management ,Madhya pradesh,"77,000","60,000",8.5,8.7,8,8.4,8.6,8.5,8.5,T3
209,"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh,"82,961","71,100",7.7,7.9,6.6,7.3,7.4,8.4,8.4,T3
210,Acropolis Institute of Technology & Research ,Madhya pradesh,"75,100","25,500",7.8,7.9,7,7.8,7.8,8,8.1,T3
